dep_hash,dep_address,dep_amount,dep_time,triplets_count,linked_withdraws_count,truncated
0x9d91b79b0779ee76e91bdaf6ba0188dea5407efcc17f878ef6394922fbd066ca,0xa4055e8dfbfa1d2d4f1a5fcf14a00f6b26e861aa,2.91502,2026-04-16 11:12:23.000000 UTC,1,3,0
0x88da692cb26509d57de3bcf091ef16f5e1a4619cd806791ff8f957f97f91d7d0,0x77cdfc29c5fd43e1263b2d887eec6dc5e86dfc9a,0.25,2026-04-16 09:07:35.000000 UTC,200,147,1
0x92efbd645d3e6461243f3fa96c43530d3b757575ccb7f6de35b1ef644ba91d90,0xcafe00ad6c7961deda1658a587c159063067a9a6,0.15789,2026-04-16 06:11:47.000000 UTC,87,42,0
0x1d4596427a67e633e2c8db54b3845bbaa674e51c3acc31ac3c7f807aeb670031,0x034265d7289c4a0bca704d1b75d2f829fca852e7,2.5035,2026-04-16 05:33:11.000000 UTC,200,130,1
0x111b37ff5bd5efcf19c4ac114b6dcb599e1e7d288c20dfa89fb77bd60844382c,0x0b4ead9adb79457816d446deb57d7a22f88c644c,0.025,2026-04-14 17:26:11.000000 UTC,200,122,1
0x529133f36566af5c85b2a335826b1ed62311041be378ef1cc9b0400349ff7ef3,0x49be8a0773824e2917f4baccebbdf298e7cf27bd,0.172,2026-04-14 17:21:59.000000 UTC,200,137,1
0x9beec081c593189cc68bd78295193ad3674e0f7d8d6fb6b504fbe593c798004d,0x8437e936eaa398b408ecb087caab2f0c27e7c2f1,0.19,2026-04-14 17:04:47.000000 UTC,200,197,1
0x35bc33cb028877fd879252b488bf76332b5f64898b5a71082d883e5634dd4c0a,0x1fa375341fe8b74a2eb116516b550ba21b689819,0.0142720983142338,2026-04-13 02:31:59.000000 UTC,0,0,0
0x9a84d41ffdf7b982e1f6cf49bd62046acd2f738454b28258f2f70dd25d4e0e7d,0xea8480be7ceb0cd7014ec043c84cf48b344861f2,0.18391,2026-04-12 21:46:59.000000 UTC,7,15,0
0x51fa1a5fc20c01f3d02b221071bdb8b9cf7ff52f87547080f828da22997550a7,0x1b3fd74d1c4d7c22cddd3e035a0cc29d1c1d6514,0.05513075,2026-04-12 00:19:35.000000 UTC,0,0,0
0xc8c2310d245f866e26b394f5d3cca8ff9c9e349e339e98f57bde6035e9d8af04,0x9783d207e3cbc58998fbb17f40e43205d6319b24,0.0505318631004482,2026-04-11 12:26:35.000000 UTC,0,0,0
0x16b909c3cfccc0c32ca3c23dd89afcfc364d76e986900de88a5607dd0d622d12,0xdec0de729092bff045e093083f76063fe7f76aa0,0.039,2026-04-11 10:36:11.000000 UTC,200,162,1
0x02f3a1179c9c565bbf8be3797215fcee1788ee23a9d2c90f34016062db3bfd90,0x5083efc06573835c8459af6ab91b434f8d1858fa,0.02607,2026-04-10 15:57:47.000000 UTC,200,144,1
0x5c01d15e290ef742e9f817835b9ed14a5399fb19239214f3ffc865d14ca6cc7f,0xeb8663ecc9126aae55d39c15359b14e5e998be32,0.01745,2026-04-10 15:38:59.000000 UTC,200,50,1
0x0225241894869ae0a99525d080177f6936c702209c62c02f56c319f16f024c9a,0xaab7036a313d188f4b0d130b8087f448e03e218c,31.48701,2026-04-10 06:44:11.000000 UTC,0,0,0
0x121e11797117c8f10621aae4a54a3fabdd6da0493af85f4d51a1db89b8dcdf90,0x8a58443fd1d652a1941aad07e786000c1af4ef09,0.0426985,2026-04-09 20:43:59.000000 UTC,0,0,0
0xe31ca25d7b3f504edf7e5dd4a8cdd3c212ef34183693278db1398d361724e3aa,0x66c09f766ecf9d0e676cbd399f0b261e456f5179,0.05714825,2026-04-09 17:13:47.000000 UTC,0,0,0
0x12f46e9c500f4f2c0ddb53c88009240028b5638129ad7e1a518de5805274b23a,0xbe3743d7df77ea127f56a146a7451604a96854b6,0.13935,2026-04-08 18:59:23.000000 UTC,85,99,0
